Time [s]	Drucki Ch.  1(Target)[mbar]	Drucki Ch.  1(Read)[mbar]	Drucki Ch.  2(Target)[mbar]	Drucki Ch.  2(Read)[mbar]	Drucki Ch.  3(Target)[mbar]	Drucki Ch.  3(Read)[mbar]	Drucki Ch.  4(Target)[mbar]	Drucki Ch.  4(Read)[mbar]	
3784.0730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3784.1730	0.0000	1.4171	146.0000	146.1450	0.0000	0.2796	0.0000	2.8982	
3784.2730	0.0000	1.4171	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3784.3730	0.0000	1.4329	146.0000	145.9583	0.0000	0.3487	0.0000	2.9720	
3784.4730	0.0000	1.4250	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3784.5730	0.0000	1.4250	146.0000	146.0828	0.0000	0.2796	0.0000	3.0457	
3784.6730	0.0000	1.4171	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3784.7730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	3.0457	
3784.8730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3784.9730	0.0000	1.4250	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3785.0730	0.0000	1.4171	146.0000	146.0828	0.0000	0.2796	0.0000	2.9720	
3785.1730	0.0000	1.4250	146.0000	146.0828	0.0000	0.2796	0.0000	2.8982	
3785.2730	0.0000	1.4171	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3785.3730	0.0000	1.4171	146.0000	146.0205	0.0000	0.3487	0.0000	2.8982	
3785.4730	0.0000	1.4329	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3785.5730	0.0000	1.4250	146.0000	146.0828	0.0000	0.2796	0.0000	2.8982	
3785.6730	0.0000	1.4407	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3785.7730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3785.8730	0.0000	1.4250	146.0000	146.0828	0.0000	0.2796	0.0000	2.8982	
3785.9730	0.0000	1.4407	146.0000	146.0205	0.0000	0.3487	0.0000	2.8982	
3786.0730	0.0000	1.4329	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3786.1730	0.0000	1.4250	146.0000	146.0205	0.0000	0.2796	0.0000	2.8982	
3786.2730	0.0000	1.4329	146.0000	146.0828	0.0000	0.2796	0.0000	2.9720	
3786.3730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3786.4730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3786.5730	0.0000	1.4329	146.0000	146.0205	0.0000	0.3487	0.0000	2.8982	
3786.6730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3786.7730	0.0000	1.4329	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3786.8730	0.0000	1.4250	146.0000	146.0205	0.0000	0.2796	0.0000	2.8982	
