t_start	t_max	t_end	voltage	width	spacing	area	barcode	is_false_drop	id
0.27893	0.279175	0.2793	0.00963851598942403	0.000369999999999981	0.00268499999999999	2.53030653314339e-06	156	0	160
0.281985	0.282175	0.283055	0.00838729528629903	0.00107000000000002	-0.00107000000000002	8.12721279409961e-06	157	0	161
0.281985	0.282895	0.283055	0.011408535520674	0.00107000000000002	0.00179499999999999	8.12721279409961e-06	157	0	162
0.28485	0.285075	0.285205	0.00948592809879903	0.000354999999999994	0.00112499999999999	2.41349978939578e-06	158	0	163
0.28633	0.28654	0.28668	0.00933334020817403	0.000350000000000017	0.00162499999999999	2.33433186765178e-06	159	0	164
0.288305	0.2885	0.288655	0.00927230505192403	0.000350000000000017	0.00115500000000002	2.37766682858929e-06	160	0	165
0.28981	0.289975	0.29012	0.00899764684879903	0.000309999999999977	0.00137000000000004	2.01531954838732e-06	161	0	166
0.29149	0.291735	0.291865	0.00988265661442403	0.000374999999999959	0.00107499999999999	2.58643368340301e-06	162	0	167
0.29294	0.29316	0.29329	0.00957748083317403	0.000350000000000017	0.00144	2.38560139890179e-06	163	0	168
0.29473	0.29497	0.2951	0.00966903356754903	0.000370000000000037	0.00102999999999998	2.55456800775277e-06	164	0	169
0.29613	0.296355	0.296465	0.00960799841129903	0.000334999999999974	0.00153000000000003	2.2256122821073e-06	165	0	170
0.297995	0.298205	0.29836	0.00939437536442403	0.000365000000000004	0.000904999999999989	2.4590731817119e-06	166	0	171
0.299265	0.299455	0.29959	0.00963851598942403	0.00032500000000002	0.00183499999999998	2.13441511049431e-06	167	0	172
0.301425	0.30165	0.301795	0.00942489294254903	0.000369999999999981	0.000760000000000038	2.48453016595589e-06	168	0	173
0.302555	0.30275	0.30291	0.00936385778629903	0.000354999999999994	0.00151499999999999	2.40236087338016e-06	169	0	174
0.304425	0.30463	0.304805	0.00936385778629903	0.000379999999999991	0.00181000000000003	2.56550394889701e-06	170	0	175
0.306615	0.30724	0.307415	0.011500088255049	0.000799999999999967	0.00170500000000001	6.27417260781448e-06	171	0	176
0.30912	0.30935	0.309495	0.00973006872379903	0.000375000000000014	0.00150499999999998	2.57514217949676e-06	172	0	177
0.311	0.3112	0.311345	0.00976058630192403	0.000344999999999984	0.00157499999999999	2.34961585020467e-06	173	0	178
0.31292	0.313105	0.31325	0.00847884802067403	0.000330000000000052	0.000709999999999988	1.99461940919143e-06	174	0	179
0.31396	0.314185	0.314305	0.00951644567692403	0.000344999999999984	0.00156000000000001	2.32672766661091e-06	175	0	180
0.315865	0.31612	0.31624	0.00969955114567403	0.000375000000000014	0.000749999999999973	2.61695126152801e-06	177	0	181
0.31699	0.31711	0.31722	0.00716659216129903	0.000230000000000008	0.00140000000000001	1.21753538837402e-06	178	0	182
0.31862	0.31884	0.318985	0.00973006872379903	0.000365000000000004	0.00267499999999998	2.50759613093065e-06	179	0	183
0.32166	0.321875	0.322705	0.00844833044254903	0.00104500000000002	-0.00104500000000002	7.94499623225463e-06	181	0	184
0.32166	0.32254	0.322705	0.010920254270674	0.00104500000000002	0.00164999999999998	7.94499623225463e-06	181	0	185
0.324355	0.32456	0.324685	0.00936385778629903	0.000329999999999997	0.00140499999999999	2.17803005372268e-06	182	0	186
0.32609	0.32632	0.32645	0.00945541052067403	0.000360000000000027	0.00106999999999996	2.49236253535853e-06	183	0	187
0.32752	0.327745	0.327865	0.00951644567692403	0.00034500000000004	0.00151000000000001	2.35236243223591e-06	184	0	188
0.329375	0.32959	0.329745	0.00930282263004903	0.000369999999999981	0.001025	2.51642103509652e-06	185	0	189
0.33077	0.33098	0.331105	0.00927230505192403	0.000334999999999974	0.00137000000000004	2.24346506531042e-06	186	0	190
0.332475	0.33271	0.332845	0.00936385778629903	0.000369999999999981	0.00104500000000002	2.44241590814339e-06	187	0	191
0.33389	0.334115	0.334245	0.00973006872379903	0.000354999999999994	0.00123999999999996	2.44798465267703e-06	188	0	192
0.335485	0.33569	0.33585	0.00942489294254903	0.000365000000000004	0.00126500000000002	2.48257171686815e-06	189	0	193
0.337115	0.337305	0.33747	0.00957748083317403	0.000354999999999994	0.000989999999999991	2.47895999447391e-06	190	0	194
